edge,heading,mx,my
N book 1,282.3,-14.8,3.2
N book 1,287.7,-14.8,4.7
N book 1,282.3,-14.8,3.2
N book 1,283.4,-14.2,3.4
N book 1,284.0,-16.1,4.0
N book 1,282.6,-14.6,3.2
N book 1,285.4,-15.6,4.3
N book 1,282.3,-14.2,3.1
N book 1,285.1,-14.2,3.8
N book 1,285.1,-14.2,3.8
N book 1,284.7,-14.1,3.7
N book 1,284.7,-14.7,3.8
N book 1,285.3,-15.2,4.2
turning,219.4,-15.3,-18.6
turning,192.3,-3.8,-17.1
turning,150.9,6.4,-11.6
turning,134.0,7.3,-7.1
turning,101.0,17.2,-3.4
S book 1,107.2,16.2,-5.0
S book 1,110.4,15.4,-5.8
S book 1,107.7,17.1,-5.4
S book 1,108.3,16.1,-5.3
S book 1,110.4,16.7,-6.2
S book 1,109.7,15.6,-5.6
S book 1,104.0,16.5,-4.1
S book 1,104.0,16.5,-4.1
S book 1,112.1,15.6,-6.4
S book 1,103.4,17.2,-4.1
S book 1,109.7,17.7,-6.4
S book 1,115.9,16.8,-8.1
S book 1,114.9,15.3,-7.1
S book 1,115.1,15.4,-7.2
S book 1,118.2,16.1,-8.6
S book 1,115.8,15.9,-7.7
turning,101.2,16.2,-3.2
turning,102.3,20.2,-4.4
turning,43.5,10.0,10.6
turning,12.3,2.7,12.4
turning,348.6,-2.7,13.4
turning,68.5,35.7,14.1
turning,353.2,-1.6,13.7
N book 2,346.4,-2.8,11.8
N book 2,356.2,-0.9,13.4
N book 2,347.7,-3.3,15.1
N book 2,356.0,-0.9,13.0
N book 2,353.2,-1.6,13.7
N book 2,349.4,-2.5,13.6
N book 2,347.2,-2.8,12.6
N book 2,357.1,-0.8,14.8
turning,79.5,28.9,5.3
turning,97.5,18.6,-2.4
turning,105.0,18.6,-5.0
turning,152.8,7.9,-15.5
turning,161.8,5.2,-15.9
S book 2,166.5,3.7,-15.7
S book 2,165.9,3.9,-15.5
S book 2,160.5,5.8,-16.5
S book 2,161.5,5.5,-16.5
S book 2,162.1,5.1,-15.8
S book 2,166.1,4.1,-16.4
S book 2,157.0,6.4,-15.2
S book 2,162.0,4.9,-15.2
S book 2,166.4,4.1,-16.7
S book 2,163.6,4.7,-15.8
S book 2,158.9,6.1,-15.9
S book 2,166.1,4.1,-16.4
S book 2,165.5,4.1,-15.7
S book 2,163.5,4.5,-15.2
S book 2,164.3,4.3,-15.5
S book 2,160.8,5.7,-16.4
