edge,heading,mx,my
N,338.7,-4.7,11.9
N,341.3,-4.5,13.3
N,340.3,-4.5,12.6
N,336.1,-5.7,12.8
N,342.8,-3.8,12.1
N,346.4,-3.3,13.6
N,348.4,-2.4,11.7
N,336.5,-5.2,12.1
N,338.6,-5.1,13.0
N,341.3,-4.7,13.7
N,339.6,-4.9,13.3
N,342.5,-4.0,12.8
N,343.7,-3.8,12.8
N,331.4,-6.8,12.4
N,340.7,-4.5,12.8
N,352.1,-1.9,14.1
turning,85.2,17.2,1.4
turning,100.1,16.2,-2.9
W,89.1,16.1,0.2
W,81.6,14.8,2.2
W,81.7,16.2,2.3
W,84.4,16.2,1.6
W,79.2,16.2,3.1
W,83.5,16.7,1.9
W,83.5,16.7,1.9
W,78.7,15.4,3.1
W,81.0,16.7,2.6
turning,113.9,16.1,-7.1
turning,133.6,11.7,-11.1
turning,156.0,7.0,-15.8
S,158.3,6.3,-15.8
S,160.5,5.8,-16.5
S,155.0,7.6,-16.4
S,159.4,6.4,-17.1
S,160.9,5.8,-16.9
S,158.2,6.8,-16.9
S,159.4,6.4,-17.1
S,160.8,5.7,-16.4
S,161.8,5.5,-16.9
S,159.7,6.4,-17.4
S,162.2,5.2,-16.4
turning,218.3,-9.8,-12.4
turning,209.0,-7.5,-13.6
turning,234.7,-12.2,-8.6
turning,249.7,-14.7,-5.4
E,256.1,-14.7,-3.6
E,257.5,-13.1,-2.9
E,256.5,-15.2,-3.6
E,254.3,-14.6,-4.1
E,257.4,-13.7,-3.1
E,251.7,-14.2,-4.7
E,251.9,-13.5,-4.4
E,253.7,-13.5,-3.9
E,256.1,-14.7,-3.6
E,253.1,-15.4,-4.7
E,250.8,-13.5,-4.7
E,251.7,-14.2,-4.7
turning,288.4,-14.7,4.9
turning,324.1,-8.5,11.8
turning,343.8,-3.9,13.4
N again,344.7,-4.0,14.8
N again,342.1,-4.3,13.4
N again,346.6,-3.5,14.5
N again,348.9,-2.7,13.7
N again,343.8,-3.9,13.4
N again,343.8,-3.9,13.4
N again,345.7,-3.9,15.2
N again,341.9,-4.7,14.2
N again,338.7,-5.5,14.2
